Q,Section,Question,Options given,Answer read from highlight,Read confidence,Status,Conflict / note
Q1,A1. Price conflicts,Single Swarovski tooth gem — which price is correct?,$40 / $60 / Other,$40,High,Answered,
Q2,A1. Price conflicts,Permanent eyeliner (upper / lash enhancement) — which price is correct?,$199 / $230 / Other,$199,High,Answered,Confirms the $199 figure used in the Q50 touch-up table.
Q3,A1. Price conflicts,BOMB lash lift + tint — which price is correct?,$75 / $70 / Other,$70,High,Answered,
Q4,A1. Price conflicts,Saline PMU / tattoo removal — which price is correct?,$150 / $125 / Other,$125,High,Answered,"CONFLICT: Q26 confirms an 'emergency saline removal' still sells at $150 on the site. Two different saline products, or one price? Confirm."
Q5,A1. Price conflicts,Teeth whitening (basic) — which price is correct?,$125 / $99 / Other,$99,High,Answered,Makes Basic and 24k gold both $99 — see Q17.
Q6,A1. Price conflicts,Was there ever a '$95 whitening added to another service' deal?,"Yes, still runs / Used to, not anymore / Never existed",Never existed,High,Answered,Remove every trace of the $95 add-on from the new site.
Q7,A2. Bundles priced above parts,Tooth gems 'book in with a friend' — $90 (two gems separately = $80),Reprice / Delete it / Leave as is,Delete it,High,Answered,Consistent with Q9.
Q8,A2. Bundles priced above parts,Swarovski gems 'bring a friend' — $100 (two gems separately = $80),Reprice to $__ / Delete it / Leave as is,Reprice to: $____,"High on choice, amount BLANK",BLOCKED,AMOUNT MISSING. Needs to come in under $80 to be a real saving. Suggest $70–$75.
Q9,A2. Bundles priced above parts,Two versions of the same tooth-gem friend deal ($90 and $100),Keep $90 delete $100 / Keep $100 delete $90 / Keep both,"Keep the $100, delete the $90",High,Answered,"Reads together with Q7 and Q8: the $90 deal goes, the $100 deal survives and gets repriced."
Q10,A2. Bundles priced above parts,RF 3-session package — $190 (pay-as-you-go = $175),Reprice package to $__ / Hide the $25 session / Leave as is,Reprice package to: $____,"Medium — mark sits on the Reprice box, amount BLANK",BLOCKED,AMOUNT MISSING. Must be under $175 to beat pay-as-you-go. Suggest $165.
Q11,A2. Bundles priced above parts,Top + bottom eyeliner — $320 (parts = $319),Reprice to $__ / Leave as is,Reprice to: $____,"High on choice, amount BLANK",BLOCKED,AMOUNT MISSING. Suggest $299 for a visible saving.
Q12,A3. Bundles undercutting services,"'Whitening + lash lift of choice' — $149, described as 3x20min (= Ultra $145)",Reprice / Delete / Meant to be basic whitening / Leave as is,"It's meant to use basic whitening, not Ultra",High,Answered,"ACTION: the booking-system description must be rewritten to say 2x20min basic, not 3x20min. The description is the bug, not the price."
Q13,A3. Bundles undercutting services,"'Whitening + Swarovski tooth gem' — $140, described as 3x20min (= Ultra $145)",Reprice / Meant to be basic whitening / Leave as is,"It's meant to use basic whitening, not Ultra",High,Answered,Same description fix as Q12.
Q14,A3. Bundles undercutting services,"If Q12/Q13 are repriced, do the $160 and $170 whitening+lash bundles stay?",Keep both / Delete both / Keep: __,Keep both,"Medium — mark is at the line end, immediately before 'Keep both'",Answered,Verify with Jamie. Four overlapping whitening+lash bundles is a lot of menu; worth a second look even if 'keep both' is right.
Q15,A5. Descriptions quoting fake prices,"'Keratin lash lift and tint..bring a friend' — description promises $75 each, actual $67.50 each",Fix description to match $135 / Change price to $150,Fix the description to match $135,High,Answered,"New wording: $135 for two = $67.50 each, saving $12.50 each."
Q16,A5. Descriptions quoting fake prices,"'Top and bottom eyeliner touchup' — $180, description cites upper $100 + lower $80","$180 is correct, fix description / Reprice","$180 is correct, fix the description",High,Answered,"Real touch-ups are upper $135 + lower $100 = $235, so $180 is a genuine $55 saving. Say that."
Q17,A6. Whitening tiers,Basic and 24k gold are both $99 for different lengths. Intended?,Yes / No — 24k gold should be $__,No — 24k gold should be $____,"High on choice, amount BLANK",BLOCKED,AMOUNT MISSING. Blocks the whitening pricing table on /smile/teeth-whitening/.
Q18,A6. Whitening tiers,"In one line: Basic vs Ultra, and where 24k gold fits",(written answer),BLANK,—,BLOCKED,Needed for the whitening tier comparison block. Without it the three tiers are indistinguishable to a customer.
Q19,A6. Whitening tiers,"Tooth gems, 5 or more — site says 'special discount pricing'. What is it?",(written answer),BLANK,—,BLOCKED,Either supply the number or remove the 'special discount pricing' claim from the site.
Q20,B. Booking fee,How much notice to move the $50 fee to a new date?,24 hours / 48 hours / Other,24 hours,High,Answered,CONFLICT with Q22 — see Q22.
Q21,B. Booking fee,Can the fee be transferred more than once?,"Once only / Unlimited / Once for brows, unlimited others",Once only,High,Answered,
