ID,Workstream,Priority,Task,Detail / acceptance criteria,Source,Owner,Blocked by,Status
L1,0. Launch blockers,P0,Remove the site-wide noindex tag,"src/app/layout.tsx line ~37 contains <meta name=""robots"" content=""noindex, nofollow, noarchive"" /> in <head>. Every page on the site is currently blocked from Google. Delete it as the final launch step, not before.",Repo audit,Dev,—,Not started
L2,0. Launch blockers,P0,Replace robots.txt,Root robots.txt is 'User-agent: * / Disallow: /'. Replace with an allow-all plus a sitemap reference. Convert to app/robots.ts so it stays in sync with the route tree.,Repo audit,Dev,L1,Not started
L3,0. Launch blockers,P0,Fix the root metadata template,"layout.tsx still ships the Tailwind starter defaults: title template '%s - Radiant', default 'Radiant - Close every deal'. Replace with '%s | Brows on Point' and a real default title + description.",Repo audit,Dev,—,Not started
L4,0. Launch blockers,P1,Add app/sitemap.ts,No sitemap exists. Generate from the 16-page route list once URLs are migrated.,Repo audit,Dev,A1,Not started
P1,1. Pricing — settled,P1,Set tooth gem price to $40,Single Swarovski tooth gem. Update the site and the Acuity booking system so they agree.,Q1,Jamie + Dev,—,Decided
P2,1. Pricing — settled,P1,Set upper eyeliner / lash enhancement to $199,Also the figure used in the published touch-up table (Q50).,Q2,Jamie + Dev,—,Decided
P3,1. Pricing — settled,P1,Set BOMB lash lift + tint to $70,Note: service-data.tsx currently carries a string 'BOMB Lift / Keratin Lift: $70-$80' with a '// TODO: confirm real pricing before launch' comment above it. This answer resolves the low end only — the $80 and the Korean lift prices ($85 / $95) are still unverified.,Q3 + repo audit,Jamie,—,Partly decided
P4,1. Pricing — settled,P1,Set saline PMU / tattoo removal to $125,,Q4,Jamie + Dev,—,Decided
P5,1. Pricing — settled,P1,Set basic teeth whitening to $99,,Q5,Jamie + Dev,—,Decided
P6,1. Pricing — settled,P1,Delete the $90 tooth gem 'book in with a friend' deal,Remove from site and from Acuity.,"Q7, Q9",Jamie,—,Decided
P7,1. Pricing — settled,P2,Purge every reference to the '$95 whitening add-on',Jamie says it never existed. Grep the repo and the booking system for '95' near 'whitening'.,Q6,Dev,—,Decided
P8,2. Pricing — BLOCKED,P0,Get the new price for the $100 Swarovski 'bring a friend' deal,"Jamie ticked 'reprice' but wrote no number. Two gems booked separately = $80, so anything at or above $80 is still not a deal. Needs to land below $80.",Q8,Jamie,Jamie,BLOCKED — number missing
P9,2. Pricing — BLOCKED,P0,Get the new price for the RF 3-session package,"Ticked 'reprice' with no number. Pay-as-you-go is $175, so the package must come in under that.",Q10,Jamie,Jamie,BLOCKED — number missing
P10,2. Pricing — BLOCKED,P0,Get the new price for top + bottom eyeliner,Ticked 'reprice' with no number. Parts total $319; current combined price $320.,Q11,Jamie,Jamie,BLOCKED — number missing
P11,2. Pricing — BLOCKED,P0,Get the new 24k gold whitening price,"Ticked 'No, that's not intended' with no replacement number. Basic and 24k gold are both $99 today. Blocks the whitening pricing table.",Q17,Jamie,Jamie,BLOCKED — number missing
P12,2. Pricing — BLOCKED,P1,Get the 5+ tooth gem discount,Site advertises 'special discount pricing' but never states it. Either supply the number or strip the claim.,Q19,Jamie,Jamie,BLOCKED — answer missing
P13,2. Pricing — BLOCKED,P1,Get the Derol lip plumping kit price,Jamie says it's still sold but gave no price.,Q31,Jamie,Jamie,BLOCKED — number missing
P14,2. Pricing — BLOCKED,P1,Get the saline removal after-hours fee,Emergency saline removal is still offered (Q26) but the after-hours surcharge is blank. Can't publish an emergency service with an unstated fee.,Q28,Jamie,Jamie,BLOCKED — number missing
P15,3. Booking-system copy fixes,P1,Rewrite the 'Whitening + lash lift of choice' $149 description,"It currently says 3 x 20 min, which is the Ultra tier. Jamie says it's meant to be basic. Change the description to 2 x 20 min basic whitening. The price is not the bug — the description is.",Q12,Jamie,—,Decided
P16,3. Booking-system copy fixes,P1,Rewrite the 'Whitening + Swarovski tooth gem' $140 description,"Same fix as P15 — it says 3 x 20 min, should be basic.",Q13,Jamie,—,Decided
P17,3. Booking-system copy fixes,P1,Rewrite the keratin lash lift 'bring a friend' description,"It promises '$75 each, $25 savings each'. Reality is $135 for two = $67.50 each, saving $12.50 each. Jamie chose to fix the words, not the price.",Q15,Jamie,—,Decided
P18,3. Booking-system copy fixes,P1,Rewrite the top + bottom eyeliner touch-up description,"$180 is correct. The description wrongly cites upper $100 + lower $80. Actual touch-ups are upper $135 + lower $100 = $235, so say plainly that $180 saves $55.",Q16,Jamie,—,Decided
P19,3. Booking-system copy fixes,P2,Keep the $160 and $170 whitening+lash bundles,Jamie ticked 'keep both'. Worth one confirmation conversation — with P15/P16 that leaves four overlapping whitening+lash offers on the menu.,Q14,Jamie,—,"Decided, verify"
P20,2. Pricing — BLOCKED,P1,Write the one-line Basic vs Ultra vs 24k gold distinction,"Blank. Without it the three whitening tiers are indistinguishable to a customer, and the tier table can't be written.",Q18,Jamie,Jamie,BLOCKED — answer missing
B1,4. Booking policy,P1,"Write one booking-fee policy block, used site-wide","$50 fee, PMU bookings only. Reschedule with 24 hours' notice. Transferable once only. No-show forfeits the $50. Arrive more than 10 minutes late and the appointment is cancelled.","Q20, Q21, Q23, Q24, Q25",Dev,B2,Not started
B2,4. Booking policy,P0,Resolve the 24 vs 48 hour contradiction,Q20 sets the notice period at 24 hours. Q22 approves rewriting the eyeliner wording to 'more than 48 hours before'. Both cannot be right. Confirm the single number before any policy copy is written.,Q20 vs Q22,Jamie,Jamie,BLOCKED — contradiction
B3,4. Booking policy,P2,Show the booking-fee block on PMU pages only,"Jamie confirmed the fee is PMU only, so it must not appear on lash, smile or skin pages.",Q23,Dev,B1,Not started
M1,5. Medical & safety,P1,Standardise the lupus / rheumatoid arthritis wording,"Eligible if controlled, with a doctor's note. Replaces the current self-contradicting 'NOT eligible ... only if not controlled'. Use identical wording on every PMU page.",Q35,Dev,—,Decided
M2,5. Medical & safety,P1,Move celiac / Crohn's to 'fine to proceed',Currently appears in both lists. Remove from the 'needs doctor's OK' list everywhere.,Q36,Dev,—,Decided
M3,5. Medical & safety,P1,Standardise microblading longevity to 1–2 years,Site currently says 9–12 months in one place and 1–3 years in another. Grep for both.,Q37,Dev,—,Decided
M4,5. Medical & safety,P1,Set the microblade first touch-up window to 2 months,"Matches the existing powder brow rule, so PMU now has one consistent window.",Q38,Dev,—,Decided
M5,5. Medical & safety,P0,Close the missed-touch-up-window gap,Jamie says a client who misses the window does NOT pay the $170 colour boost. So what do they pay? Unanswered. This blocks publishing touch-up prices (Q50).,Q39,Jamie,Jamie,BLOCKED — gap
M6,6. Content gaps — BLOCKING,P0,Supply the full teeth whitening contraindication list,"The booking system has one the website doesn't (recent dental work, chemo/radiation, steroids, and more that got cut off). Blocks two pages.",Q41,Jamie,Jamie,BLOCKED — blocks /smile/teeth-whitening/ + /smile/sensitive-teeth-whitening/
M7,6. Content gaps — BLOCKING,P0,Supply saline removal aftercare,Nothing exists anywhere. Specifically: what to tell people about the scab.,Q42,Jamie,Jamie,BLOCKED — blocks /permanent-makeup/saline-tattoo-removal/
M8,6. Content gaps — BLOCKING,P0,Supply tooth gem aftercare,"Nothing exists. Brushing, flossing, foods to avoid, what to do if one comes loose. This blocks the single highest-value page in the set — tooth gems is 3,400/mo at KD 0.",Q43,Jamie,Jamie,BLOCKED — blocks /smile/tooth-gems/
M9,6. Content gaps — BLOCKING,P0,Supply RF skin tightening contraindications,Already flagged as a pre-publish blocker in the site architecture sheet.,Q44,Jamie,Jamie,BLOCKED — blocks /skin-tightening/
M10,6. Content gaps — BLOCKING,P1,Supply the whitening gel peroxide concentration,"Needed for the whitening FAQ, and it's a differentiator worth stating outright.",Q46,Jamie,Jamie,BLOCKED — answer missing
I1,6. Content gaps — BLOCKING,P0,"Supply opening hours, Mon to Sun","The single highest-impact blank in the questionnaire. Blocks the LocalBusiness schema, the footer, the contact block and the Google Business Profile. Nothing about local ranking works properly without it.",Q40,Jamie,Jamie,BLOCKED — blocks schema + footer + GBP
I2,6. Content gaps — BLOCKING,P1,Supply training and certifications,"What, and from where. Feeds the About page trust section and the training page.",Q45,Jamie,Jamie,BLOCKED — answer missing
I3,6. Content gaps — BLOCKING,P2,Supply parking / finding-the-door detail,"Low effort, high conversion value for a local service business.",Q49,Jamie,Jamie,BLOCKED — answer missing
I4,7. Business details,P2,"Publish payment methods: cash, debit, credit, e-transfer","All four ticked, no 'Other'. Add to the contact block and the LocalBusiness schema.",Q47,Dev,—,Decided
I5,7. Business details,P2,Retire the Courtenay email address,"Browsonpointcourtenay@gmail.com currently appears on the lip kit content. Note the tension: Q31 keeps the lip kit but Q48 retires the address it points to, so lip kit enquiries need a new destination. Also worth asking about — Courtenay is on Vancouver Island, the business targets Kelowna.","Q48, Q31",Jamie + Dev,—,"Decided, one gap"
I6,7. Business details,P2,Remove breast augmentation scar camouflage,One mention on the current site. No longer offered.,Q29,Dev,—,Decided
I7,7. Business details,P1,Strip PMU training claims from Jamie's bio,Jamie does not teach PMU. Only lash lift and whitening training are real. Read alongside T1.,Q30,Dev,—,Decided
I8,7. Business details,P2,"Make emergency saline removal bookable, 24-hour window",Still offered (Q26) at a 24-hour window (Q27). The site currently says 48 hrs in one place and 24–48 in another; both get corrected. Currently not in Acuity at all. Also resolve the $150 site price against the $125 from Q4.,"Q26, Q27, Q4",Jamie + Dev,P14,"Decided, price conflict"
I9,7. Business details,P2,Resolve the lash lift aftercare products claim,The site advertises '$20–$45' aftercare products but names none. Q32 came back with no mark at all. Either name them with prices or remove the claim.,Q32,Jamie,Jamie,BLOCKED — unanswered
I10,7. Business details,P3,Keep fat cavitation off the new site,"Not bookable yet, and 'fat loss' is a health claim held to a stricter standard. Agreed to omit. The architecture note about /skin-tightening/ growing into a 'Skin & Body' hub stays parked until launch.","Q33, Q34",Dev,—,Decided
A1,8. Architecture,P0,Migrate flat URLs to the nested structure with 301s,"Existing routes are flat: /brow-services, /lash-lift, /teeth-services, /rf-skin-tightening, /services. The architecture sheet specifies nested: /brows/, /lashes/, /smile/, /permanent-makeup/*. Every old path needs a permanent redirect in next.config.mjs or netlify.toml. Missing this throws away whatever equity the current URLs hold.",Repo audit vs architecture CSV,Dev,—,Not started
A2,8. Architecture,P1,Build 16 pages against the architecture sheet,"Homepage, 4 hubs (brows / lashes / permanent-makeup / smile), 11 service spokes, plus the training page from Q52. The existing ServiceData interface already has the right slots.","Architecture CSV, Q52",Dev,—,Not started
A3,8. Architecture,P1,Resolve the training page scope,Q52 says give training a proper page. Q30 says Jamie does not teach PMU. So the page covers lash lift ($500) and whitening ($550) only. Note this page is NOT in the architecture sheet and has no keyword research behind it — it is a 16th page bolted on.,Q52 vs Q30,Robin,I2,Needs scoping
A4,8. Architecture,P1,Add the free 30-min consultation CTA to all five PMU pages,"Jamie approved featuring it as a main button. Secondary to 'Book now'. Currently mentioned once, buried in a paragraph.",Q51,Dev,—,Decided
A5,8. Architecture,P1,Publish the touch-up pricing table,Powder brow $300 / $125 / $425 year one. Microblading $275 / $100 / $375. Upper eyeliner $199 / $135 / $334. Jamie accepted the figures as printed.,Q50,Dev,M5,"Decided, one dependency"
A6,8. Architecture,P2,Confirm the 'shape includes waxing' assumption,"Flagged in the architecture sheet against the /brows/brow-tint-wax-shape/ page. Never asked in the questionnaire, so it is still an open assumption underneath a 10,760/mo cluster.",Architecture CSV,Robin + Jamie,Jamie,Open assumption
A7,8. Architecture,P2,Confirm saline removal belongs in the service set,"Flagged in the architecture sheet: it's on the current site but wasn't in Jamie's selection. Q26 answers yes, so this is now resolved — build the page.","Architecture CSV, Q26",Robin,—,Resolved
A8,8. Architecture,P2,Add LocalBusiness + Service + FAQPage JSON-LD,No structured data anywhere in the repo today. LocalBusiness needs the opening hours from Q40.,Repo audit,Dev,I1,Not started
A9,8. Architecture,P2,Add per-page metadata to every service route,"Only /, /about and /services export metadata today. The service pages have none, so they inherit the Radiant default.",Repo audit,Dev,L3,Not started
V1,9. Verification,P1,Verify every price on the site matches Acuity,"The whole of section A exists because the two disagree. After the build, walk the live booking system against the site page by page.",Q1–Q19,Robin,—,Not started
V2,9. Verification,P1,Re-confirm the medium-confidence highlight reads with Jamie,"Q10, Q14, Q26, Q29, Q39 and Q47 were read from marks that sit slightly off their checkbox. Worth thirty seconds of confirmation each before anything is built on them.",Highlight reading,Robin + Jamie,—,Not started
